Symbol|Name
OIBR3.SA|Oi S.A.
FNOR11.SA|Finor -Ci Fund
VVAR3.SA|Via Varejo S.A.
COGN3.SA|Cogna Educação S.A.
BBDC4.SA|Banco Bradesco S.A.
PETR4.SA|Petróleo Brasileiro S.A. - Petrobras
HGTX3.SA|Cia. Hering
USIM5.SA|Usinas Siderúrgicas de Minas Gerais S.A.
ITUB4.SA|Itaú Unibanco Holding S.A.
IRBR3.SA|IRB-Brasil Resseguros S.A.
MGLU3.SA|Magazine Luiza S.A.
ABEV3.SA|Ambev S.A.
FNAM11.SA|Fundo de Investimento Amazônia - FINAM
ITSA4.SA|Itaúsa - Investimentos Itaú SA
BRML3.SA|BR Malls Participações S.A.
VALE3.SA|Vale S.A.
SOMA3.SA|Grupo de Moda SOMA S.A.
B3SA3.SA|B3 S.A. - Brasil, Bolsa, Balcão
CIEL3.SA|Cielo S.A.
AMAR3.SA|Marisa Lojas S.A.
PETR3.SA|Petróleo Brasileiro S.A. - Petrobras
JBSS3.SA|JBS S.A.
CSNA3.SA|Companhia Siderúrgica Nacional
GGPS3.SA|
GGBR4.SA|Gerdau S.A.
BBAS3.SA|Banco do Brasil S.A.
GOAU4.SA|Metalurgica Gerdau S.A.
GOLL4.SA|Gol Linhas Aéreas Inteligentes S.A.
LREN3.SA|Lojas Renner S.A.
BPAN4.SA|Banco Pan S.A.
EMBR3.SA|Embraer S.A.
CVCB3.SA|CVC Brasil Operadora e Agência de Viagens S.A.
BBDC3.SA|Banco Bradesco S.A.
POSI3.SA|Positivo Tecnologia S.A.
BBSE3.SA|BB Seguridade Participações S.A.
TPIS3.SA|Triunfo Participações e Investimentos S.A.
MRFG3.SA|Marfrig Global Foods S.A.
CMIN3.SA|CSN Mineração S.A.
BEEF3.SA|Minerva S.A.
BRFS3.SA|BRF S.A.
LAME4.SA|Lojas Americanas S.A.
HAPV3.SA|Hapvida Participações e Investimentos S.A.
ENEV3.SA|Eneva S.A.
NTCO3.SA|Natura &Co Holding S.A.
CCRO3.SA|CCR S.A.
RAIL3.SA|Rumo S.A.
BRDT3.SA|Petrobras Distribuidora S.A.
CEAB3.SA|C&A Modas S.A.
BOVA11.SA|iShares Ibovespa Index Fund
TCSA3.SA|Tecnisa S.A.
LWSA3.SA|Locaweb Serviços de Internet S.A.
BKBR3.SA|BK Brasil Operação e Assessoria a Restaurantes S.A.
MULT3.SA|Multiplan Empreendimentos Imobiliários S.A.
CPLE6.SA|Companhia Paranaense de Energia - COPEL
SUZB3.SA|Suzano S.A.
POMO4.SA|Marcopolo S.A.
GMAT3.SA|Grupo Mateus S.A.
PTBL3.SA|PBG S.A.
TIMS3.SA|TIM S.A.
JHSF3.SA|JHSF Participações S.A.
CMIG4.SA|Companhia Energética de Minas Gerais
EQTL3.SA|Equatorial Energia S.A.
ELET3.SA|Centrais Elétricas Brasileiras S.A. - Eletrobrás
PCAR3.SA|Companhia Brasileira de Distribuição
MEAL3.SA|International Meal Company Alimentação S.A.
CYRE3.SA|Cyrela Brazil Realty S.A. Empreendimentos e Participações
MRVE3.SA|MRV Engenharia e Participações S.A.
KLBN11.SA|Klabin S.A.
GFSA3.SA|Gafisa S.A.
AZUL4.SA|Azul S.A.
BRKM5.SA|Braskem S.A.
ETER3.SA|Eternit S.A.
WEGE3.SA|WEG S.A.
HYPE3.SA|Hypera S.A.
BPAC11.SA|Banco BTG Pactual S.A.
PRIO3.SA|Petro Rio S.A.
SAPR4.SA|Companhia de Saneamento do Paraná - SANEPAR
RPMG3.SA|Refinaria de Petróleos de Manguinhos S.A.
ROMI3.SA|Indústrias Romi S.A.
DMMO3.SA|Dommo Energia S.A.
CRFB3.SA|Atacadão S.A.
TOTS3.SA|TOTVS S.A.
WIZS3.SA|Wiz Soluções e Corretagem de Seguros S.A.
STBP3.SA|Santos Brasil Participações S.A.
UGPA3.SA|Ultrapar Participações S.A.
HASH11.SA|Hashdex Nasdaq Crypto Index Fundo De Indice
RADL3.SA|Raia Drogasil S.A.
BRAP4.SA|Bradespar S.A.
TECN3.SA|Technos S.A.
NGRD3.SA|Neogrid Participações S.A.
RANI3.SA|Irani Papel e Embalagem S.A.
BOVV11.SA|It Now Ibovespa Fundo de Indice
ENBR3.SA|EDP - Energias do Brasil S.A.
PETZ3.SA|Pet Center Comércio e Participações S.A.
LUPA3.SA|Lupatech S.A.
HBOR3.SA|Helbor Empreendimentos S.A.
SANB11.SA|Banco Santander (Brasil) S.A.
EZTC3.SA|EZTEC Empreendimentos e Participações S.A.
SULA11.SA|Sul América S.A.
ANIM3.SA|Anima Holding S.A.
IGTA3.SA|Iguatemi Empresa de Shopping Centers S.A.
